ID,creator,age,stim,inverted,category1,category2,category3,confidence,creativity,filepath
3001,child,4.0,G,False,blank,,,1.0,10,../data/children/stimuli_G/3001.png
3001,child,4.0,I,False,blank,,,1.0,10.0,../data/children/stimuli_I/3001.png
3001,child,4.0,R,True,blank,,,1.0,10.0,../data/children/stimuli_R/3001.png
3002,child,6.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/3002.png
3002,child,6.0,I,False,baby,diaper,(smiley) face,2.0,2.0,../data/children/stimuli_I/3002.png
3002,child,6.0,R,True,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/3002.png
3005,child,6.0,G,False,person(s),parachute,,1.0,3,../data/children/stimuli_G/3005.png
3005,child,6.0,I,False,house,door,,2.0,2.0,../data/children/stimuli_I/3005.png
3005,child,6.0,R,True,creature/monster,circles,hands,2.0,2.0,../data/children/stimuli_R/3005.png
3007,child,4.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/3007.png
3007,child,4.0,I,False,house,sun,person(s),2.0,2.0,../data/children/stimuli_I/3007.png
3007,child,4.0,R,True,abstract doodle/hard to interpret,,,1.0,0.0,../data/children/stimuli_R/3007.png
3008,child,6.0,G,False,person(s),hands,,2.0,3,../data/children/stimuli_G/3008.png
3008,child,6.0,I,False,house,door,,2.0,2.0,../data/children/stimuli_I/3008.png
3008,child,6.0,R,True,creature/monster,feelers,,2.0,2.0,../data/children/stimuli_R/3008.png
3009,child,6.0,G,True,creature/monster,teeth,,1.0,2,../data/children/stimuli_G/3009.png
3009,child,6.0,I,False,lock,,,2.0,2.0,../data/children/stimuli_I/3009.png
3009,child,6.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/3009.png
3010,child,4.0,G,True,faces,,,1.0,1,../data/children/stimuli_G/3010.png
3010,child,4.0,I,False,house,door,,2.0,2.0,../data/children/stimuli_I/3010.png
3010,child,4.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/3010.png
3011,child,5.0,G,True,person(s),boat,,2.0,2,../data/children/stimuli_G/3011.png
3011,child,5.0,I,False,person(s),chair,,2.0,4.0,../data/children/stimuli_I/3011.png
3011,child,5.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/3011.png
3013,child,5.0,G,False,person(s),encircled,hair ,2.0,2,../data/children/stimuli_G/3013.png
3013,child,5.0,I,False,person(s),encircled,,2.0,2.0,../data/children/stimuli_I/3013.png
3013,child,5.0,R,True,person,encircled,,2.0,2.0,../data/children/stimuli_R/3013.png
3016,child,4.0,G,False,completing,,,2.0,0,../data/children/stimuli_G/3016.png
3016,child,4.0,I,False,completing,,,2.0,0.0,../data/children/stimuli_I/3016.png
3016,child,4.0,R,False,(smiley) face,lines,hat,2.0,2.0,../data/children/stimuli_R/3016.png
3017,child,4.0,G,False,completing,,,2.0,0,../data/children/stimuli_G/3017.png
